user,text,created_at
renanjordani,"Dentro de 3 semanas será melhor nos sentirmos ridículos por ter exagerado, que nos sentirmos estúpidos por não ter agido. #COVID2019 #coronavirus #StopTheSpread #StaySafeStayHome",2020-03-20
vivi_naves,"RT @brumelianebrum: ""Primeira morte do Rio por coronavírus, doméstica não foi informada de risco de contágio pela patroa”
https://t.co/YhjJ…",2020-03-20
GabrielAoS13,"RT @bielsiqueiraRJ: “Fiquem tranquilos , nosso governo está pronto para enfrentar o coronavírus”

O governo:

COVID-19 #NaQuarentenaEu #vir…",2020-03-20
maloooah,"RT @SPSobreTrilhos: URGENTE 

Confirmado primeiro caso de metroviário contaminado por coronavírus

Outros 6 trabalhadores estão com suspeit…",2020-03-20
mestreurbano,RT @JogaoD20: Vocês já devem ter notado que diversas editoras estão concedendo jogos gratuitos devido ao Coronavirus. Para facilitar a sua…,2020-03-20
castellarinando,"@Miltonneves Depois que a Guerra Contra o Coronavirus terminar , o PCC responderá nos Tribunais Internacionais",2020-03-20
_Claudio_Leal,RT @bocaonews: Bahia tem segundo São João cancelado em razão do Coronavírus #bahia #saojoao #covid19 #coronavirus #bnews https://t.co/4RGP4…,2020-03-20
DanielGuedelha,"O coronavirus tem sido notícia nas últimas semanas. Neste contexto é interessante refletir de que forma as novas tecnologias podem ajudar a detetar estas doenças, de modo a contribuírem de forma positiva para medidas de controlo.

https://t.co/FgIORlZjwO https://t.co/EapHYXn4be",2020-03-20
batcapello,"RT @CoronavirusBra1: Linha do tempo do #coronavirus no mundo:

- 19 de janeiro: 100 casos
- 24 de janeiro: 1.000 casos
- 28 de janeiro: 5.0…",2020-03-20
maripguzzo,RT @geocaio: Daniel caindo na prova do líder é Deus dando a nós um sopro de felicidade em época de coronavirus,2020-03-20
marccos_joao,RT @geocaio: Daniel caindo na prova do líder é Deus dando a nós um sopro de felicidade em época de coronavirus,2020-03-20
GrupoMetropole,"Coronavírus: prefeitura interdita Unijorge, Uninassau e mais 8 instituições de ensino por burlarem decreto https://t.co/FvTtonfpdG",2020-03-20
CostaVerdeDR,Caribe Tours anuncia medidas para contrarrestar coronavirus - https://t.co/A2eMyFMqPe https://t.co/9n0tZU4gqh,2020-03-20
Mdamelo,"RT @CBNCuritiba: A URBS determinou que como medida de prevenção ao coronavirus, o número de veículos será reduzido e o transporte vai funci…",2020-03-20
OsAmigosdaOnca,Assembleia Legislativa vai votar calamidade pública do RN por conta do coronavírus ☛  https://t.co/xjtvrKOUaK,2020-03-20
caarolpereir1,"RT @udezinho: Em 2025.
-Mãe você me deu 
esse nome pq nasci
 em meio a ipedemia do CoronaVirus ?

- Não diga besteira 
Alcolgelson",2020-03-20
rjdm008,"RT @andrezamatais: 👇
Sobe para 22 o total de pessoas que estiveram com Bolsonaro nos EUA e têm coronavírus @estadao:  https://t.co/h3xFT9yY…",2020-03-20
prelciodesouza,"RT @rodrigodasilva: 12. Em janeiro, a polícia ainda controlava as informações, tratando o coronavírus como um boato. Em Wuhan, esse era o d…",2020-03-20
SturtSilva,"RT @delucca: Falta teste de coronavírus no Brasil porque o Bolsonaro está fazendo todos

https://t.co/Ipy27f7fLV",2020-03-20
Heloise_Barros,A coisa ruim de fazer niver hoje em época de coronavirus é que ninguém vai me dar abraço :/,2020-03-20
brilhodosol60,RT @linsaquiles: Já são 22 pessoas com Coronavirus na comitiva de Bolsonaro que foi aos EUA. A Wuhan brasileira é o Palácio do Planalto.,2020-03-20
rlalves1988,"RT @FatosEsquerda: Coloquem o capacete de alumínio junto comigo.

E se o Coronavirus for uma arma biológica de redução populacional do mund…",2020-03-20
AMARAL_15_,RT @miguelinferno23: RT se não queres apanhar coronavirus 😷 https://t.co/oCUJtBGluk,2020-03-20
ErickMotaTV,"RT @rosana: Paises que já passaram pelo pico da epidemia de coronavirus são nossos  WAZE: eles nos informam o que vem pela frente. 
Se tem…",2020-03-20
EltonOstrev,Forrozão Coronavírus: Cantor cria música e viraliza mais que o vírus – Vídeo https://t.co/ASyGqCrG2S via @DIA.news,2020-03-20
loreenabezerra,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
DanielOpotiguar,"Coronavírus: Bolsonaro x Governadores
https://t.co/ldvNmSQ8HM",2020-03-20
agendabafafa,"Prefeitura toma novas ações para conter a pandemia

Nesta quinta-feira (19/03), a Prefeitura atualizou resumo com as principais medidas adotadas, até o momento, para conter o contágio do coronavírus (Covid-19) na… https://t.co/LJT9NKKSis",2020-03-20
ptribeirao,"Estado de Mato Grosso registra 1º caso de coronavírus | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/D3KRh7m2vk

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
rokspica,RT @alefrota77: Vamos falar a verdade Bolsonaro trouxe um avião de Coronavirus p Brasil.,2020-03-20
luizfalvesjr,Pelo visto os trabalhadores da construção civil são imunes ao coronavirus. As obras em volta de casa não páram!,2020-03-20
ptribeirao,"Mortes por coronavírus já passam de 10 mil em todo o mundo | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/UawVUOR64V

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
DebiasiScherer,RT @revistaforum: Jair Bolsonaro foi incapaz de controlar a propagação do coronavírus no próprio Palácio do Planalto. Servidores vivem cená…,2020-03-20
betoatpaschoal1,"RT @BecaBrix: 🔅Filme PROFÉTICO lançado em 2011 fala do vírus ""Coronavirus"" que começa na China e se espalha para o resto do mundo.
O mais e…",2020-03-20
sidartareis,"Curva de contágio do coronavírus no Brasil repete a de países europeus, alertam especialistas da Itália https://t.co/VkSk6qXxGj",2020-03-20
Biaaandrad__,RT @icretinoreal: calma ai coronavirus nem fui amado de verdade ainda.,2020-03-20
royaltyanaaa,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
JosRomoCostaFi1,RT @ReginaRondon3: EUA aprovam remédio antimalária em tratamento contra #VirusChines coronavírus - Conexão Política https://t.co/pFkVVv59RJ,2020-03-20
sipmyblood,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
Vitorinhat6,RT @vtoriask: Coronavirus se me levar antes de ter um vou ficar puta,2020-03-20
FaelFud,"RT @correio_dopovo: EUA têm 10.442 casos de coronavírus e 150 mortes decorrentes da pandemia de Covid-19 

https://t.co/Ul6JHrskCh https://…",2020-03-20
mateuspereira_0,"RT @dw_brasil: Mortes por #coronavirus passam de 10 mil no mundo: 
casos diagnosticados de #COVID19 são mais de 244 mil, e mais de 86 mil p…",2020-03-20
cadelinhadojk,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
cristianethiel,"antes de surtar tomando reuquinol, leia sobre os efeitos colaterais... #coronavirus",2020-03-20
SigaJs,"JS - COVID-19: Para evitar o contágio do novo coronavírus o maior Shopping do RN fechará à partir deste sábado (21).

Leia essa e outras matérias acessando https://t.co/SwdeZssnzg

Participe de um dos grupos do blog… https://t.co/LsZtBTJEoD",2020-03-20
hogwshirIey,"RT @nadanovonofront: Poxa vida, então o governo ANTI CORRUPÇÃO está usando o coronavírus pra favorecer os amigos?

Estou chocado",2020-03-20
HenriqueRK1,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
clarkkenwt,"RT @usponline: A vacina contra coronavírus em desenvolvimento na USP é diferente da americana.

Na Rádio USP, o professor Jorge Kalil expli…",2020-03-20
Ronald_silva22,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
CRTnotBRT,RT @psicodeIicos: só esse homem pode acabar com o coronavirus https://t.co/PLgdgdWz12,2020-03-20
corujosilva,"RT @rodrigorotzsch: Num futuro próximo, tentarão desvincular Sergio Moro da catástrofe que é a resposta do governo Bolsonaro ao coronavírus…",2020-03-20
CliaSil45226872,"RT @BelinhaPoodleBR: Sabe por que vc tem de ficar em casa?

Pq se muitas pessoas tiverem o coronavirus Não terão hospitais, médicos e equip…",2020-03-20
JorgeNovoGarcia,"RT @eventuais_loita: ""Hai persoal que está saltando dos centros de saúde ás plantas onde están os positivos de coronavirus, e que despois v…",2020-03-20
ptribeirao,"Atacante Ari: mídia brasileira deturpou minhas palavras sobre coronavírus na Rússia | publicado em Blogosfera da Rede PT -  - https://t.co/i9pxplOzIl

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
_Claudio_Leal,RT @bocaonews: Homem é preso por vender álcool gel falsificado na feira de Camaçari #policia #coronavirus #bnews https://t.co/84NMUBmx6p,2020-03-20
ArthurlCarvalho,RT @LeehFreiman: Mais de 600 casos de coronavirus confirmado no Brasil e vai parar por aí já que não farão teste em todo mundo.. a real é q…,2020-03-20
andresouzajr4,Eu já pratico distanciamento social em tempos normais... que ver agora em tempos de coronavirus.,2020-03-20
LanasantssCrf,RT @jnnluzz: Para q nem foi por causa do CoronaVirus. Bjo.,2020-03-20
mottacl,"@biazitagomes Talvez o PIOR vírus de todos seja o INDIVIDUALISMO.

Faz muito tempo (no Brasil principalmente) que é ""cada UM POR si...""

Não pode DAR CERTO.

Quem sabe o #coronavirus MOSTRE o óbvio...",2020-03-20
ellen_sayuri,"RT @folha: RELEMBRE FRASES DE BOLSONARO SOBRE O CORONAVÍRUS

""Está superdimensionado""
""É muito mais fantasia""
""Outras gripes mataram mais""…",2020-03-20
OPotiguar,"Coronavírus: Bolsonaro x Governadores
https://t.co/51Zvq9NVyJ",2020-03-20
BrunnaIsabella7,"RT @brumelianebrum: ""Primeira morte do Rio por coronavírus, doméstica não foi informada de risco de contágio pela patroa”
https://t.co/YhjJ…",2020-03-20
ZonaSul750,RT @gabrielgb110: Venho informar que a quadrilha do 157 está de quarentena devido o coronavirus  assim que combatermos esse vírus nossa qua…,2020-03-20
thefreshtoast_,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
onlyphael,RT @nadanovonofront: Outros países: empresariado oferece fábricas pro governo produzir insumos contra o coronavírus e constrói garantias pr…,2020-03-20
carroraima,Modelo de conteção de coronavírus da chinesa Geely é exemplo para o mundo https://t.co/i8s2UgbJyK,2020-03-20
ptribeirao,"Coronavírus: eleições municipais já correm risco de ser adiadas | publicado em Blogosfera da Rede PT - Rede PT - https://t.co/27JshCDbf2

- Curta nossa Página: https://t.co/ATQeN5dOd5
#LulaLivre #LulaInocente #PTRibeirao #RedePT #40anosPT",2020-03-20
GovSC,#Coronavírus em SC: Infraestrutura paralisa obras pelo período de sete dias. 🚧https://t.co/hAyWSYUDHQ https://t.co/SaIzNUVT2m,2020-03-20
PegaoControle_,"Métodos de Prevenção da Doença:

Evite contato próximo com pessoas doentes.
#corona #coronavirus #quarentena #saude #prevencao https://t.co/RiumD9jzyT",2020-03-20
caetanocontab,O Governo e os Bancos Públicos e Privados tomaram algumas medidas para poder ajudar a minimizar os efeitos da pandemia de Coronavírus (Covid-19). Veja quais foram as medidas adotadas: https://t.co/oaNkl6MlMx,2020-03-20
maycoss,Modelo de conteção de coronavírus da chinesa Geely é exemplo para o mundo https://t.co/pEKXDtW9dD,2020-03-20
JoaoBidu,"Pandemia de coronavírus: o que você precisa saber para se proteger. Clique na matéria e confira! 
-
-
-
#astral #astrologia #signos #zodíaco #mapaastral #vírus 

https://t.co/3dd1Qksg1F",2020-03-20
ProfCalasans,"Prefeitura de São José prorrogou o prazo para recebimento ISS, referente ao mês de fevereiro. O novo período segue até o dia 20 de abril, sem juros ou multas. A medida foi adotada a fim de minimizar impactos do novo Coronavírus (Covid-19). Saiba mais: https://t.co/UzaKwAa4Ie https://t.co/OW9qHKRDkR",2020-03-20
IBrasil200,"Embora o risco de transmissão do COVID-19 esteja aumentando em todo o mundo, a situação estável em Wuhan - cidade chinesa onde se originou a epidemia - permitiu que as autoridades interrompessem as operações nos hospitais temporários recém-construídos.
#china #wuhan #coronavírus https://t.co/9ALfSP9vY9",2020-03-20
Juaandemelo,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
Lsquadros,"Não existe legenda melhor do que o poder deste versículo. Apenas compartilhe, e coloque seu nome para eu orar por você! #Bíblia #versículo #oração #Poder #coronavirus https://t.co/1grQMS4gAN",2020-03-20
RealMaxwell8,"EUA aprovam remédio antimalária em tratamento contra #VirusChines coronavírus - Conexão Política https://t.co/BMxdYBclK1
@conexaopolitica @MaxwellFerrari",2020-03-20
valtertonha,"RT @folha: RELEMBRE FRASES DE BOLSONARO SOBRE O CORONAVÍRUS

""Está superdimensionado""
""É muito mais fantasia""
""Outras gripes mataram mais""…",2020-03-20
Flapkadu,"RT @Negro_Brahma: Dia 3

COVID-19, tal do coronavirus, querendo que eu saia de casa https://t.co/iMShAryIEJ",2020-03-20
joseane_olii,"RT @CeliaNacarato: Bolsonaro é cobrado a fazer exames para detectar o coronavirus. Ja fez dois e fará um terceiro. E o corrupto, q voltou d…",2020-03-20
carroraima,Toyota suspende produção no Brasil por combate ao coronavírus https://t.co/wy5voem8pV https://t.co/u7Kmpjw9O6,2020-03-20
abrhbahia,"A informação correta é ótima aliada no combate ao surto do coronavirus. Confira o que é mito e o que é verdade e compartilhe!
⠀
@abrhbrasil #coronavirus https://t.co/KQSqULyPTV",2020-03-20
BONATTI_MC,"RT @OcorrenciasJF: No São  Benedito,  pessoas estão se passando por agentes de saúde para fingirem uma pesquisa sobre o coronavirus e assal…",2020-03-20
Norte_Korean,"Recebi este vídeo do futuro e é assustador.
#coronavirus https://t.co/ibLUqz9O5F",2020-03-20
